#	subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	examples
1	bcdm:processid	bcdm:processid	notApplicable			semapv:ManualMappingCuration	2024-04-24								
2	bcdm:sampleid	bcdm:sampleid	skos:closeMatch		MIXS:samp_name	semapv:ManualMappingCuration	2024-04-24								
3	bcdm:fieldid	bcdm:fieldid	skos:closeMatch		MIXS:samp_name	semapv:ManualMappingCuration	2024-04-24								
4	bcdm:museumid	bcdm:museumid	skos:narrowMatch		MIXS:source_mat_id	semapv:ManualMappingCuration	2024-04-24								
5	bcdm:record_id	bcdm:record_id	notApplicable			semapv:ManualMappingCuration	2024-04-24								
6	bcdm:specimenid	bcdm:specimenid	skos:narrowMatch		MIXS:source_mat_id	semapv:ManualMappingCuration	2024-04-24								
7	bcdm:processid_minted_date	bcdm:processid_minted_date	notApplicable			semapv:ManualMappingCuration	2024-04-24							NA	
8	bcdm:bin_uri	bcdm:bin_uri	notApplicable			semapv:ManualMappingCuration	2024-04-24							NA	
9	bcdm:bin_created_date	bcdm:bin_created_date	notApplicable			semapv:ManualMappingCuration	2024-04-24							NA	
10	bcdm:collection_code	bcdm:collection_code	skos:narrowMatch		MIXS:source_mat_id	semapv:ManualMappingCuration	2024-04-24							MiXS field is broader	
11	bcdm:inst	bcdm:inst	skos:narrowMatch		MIXS:source_mat_id	semapv:ManualMappingCuration	2024-04-24							MiXS field is broader	
12	bcdm:taxid	bcdm:taxid	skos:closeMatch		MIXS:samp_taxon_id	semapv:ManualMappingCuration	2024-04-24								
13	bcdm:taxon_name	bcdm:taxon_name	notApplicable			semapv:ManualMappingCuration	2024-04-24								
14	bcdm:taxon_rank	bcdm:taxon_rank	notApplicable			semapv:ManualMappingCuration	2024-04-24								
15	bcdm:kingdom	bcdm:kingdom	notApplicable			semapv:ManualMappingCuration	2024-04-24								
16	bcdm:phylum	bcdm:phylum	notApplicable			semapv:ManualMappingCuration	2024-04-24								
17	bcdm:class	bcdm:class	notApplicable			semapv:ManualMappingCuration	2024-04-24								
18	bcdm:order	bcdm:order	notApplicable			semapv:ManualMappingCuration	2024-04-24								
19	bcdm:family	bcdm:family	notApplicable			semapv:ManualMappingCuration	2024-04-24								
20	bcdm:subfamily	bcdm:subfamily	notApplicable			semapv:ManualMappingCuration	2024-04-24								
21	bcdm:tribe	bcdm:tribe	notApplicable			semapv:ManualMappingCuration	2024-04-24								
22	bcdm:genus	bcdm:genus	notApplicable			semapv:ManualMappingCuration	2024-04-24								
23	bcdm:species	bcdm:species	notApplicable			semapv:ManualMappingCuration	2024-04-24								
24	bcdm:subspecies	bcdm:subspecies	notApplicable			semapv:ManualMappingCuration	2024-04-24								
25	bcdm:species_reference	bcdm:species_reference	notApplicable			semapv:ManualMappingCuration	2024-04-24								
26	bcdm:identification	bcdm:identification	notApplicable			semapv:ManualMappingCuration	2024-04-24								
27	bcdm:identification_method	bcdm:identification_method	notApplicable			semapv:ManualMappingCuration	2024-04-24							tax_class - narrower - refers to sequence based identification 	
28	bcdm:identification_rank	bcdm:identification_rank	notApplicable			semapv:ManualMappingCuration	2024-04-24								
29	bcdm:identified_by	bcdm:identified_by	notApplicable			semapv:ManualMappingCuration	2024-04-24								
30	bcdm:identifier_email	bcdm:identifier_email	notApplicable			semapv:ManualMappingCuration	2024-04-24								
31	bcdm:taxonomy_notes	bcdm:taxonomy_notes	notApplicable			semapv:ManualMappingCuration	2024-04-24								
32	bcdm:sex	bcdm:sex	skos:broadMatch		MIXS:urobiom_sex	semapv:ManualMappingCuration	2024-04-24							none of these are a closematch...	
